,wijkcode,wijknaam,jaar,verkiezing,(%) wijk
411,WK030730,Wijk 30 Vathorst-De Bron,2011.0,PS,5.24
412,WK030730,Wijk 30 Vathorst-De Bron,2012.0,TK,4.88
413,WK030730,Wijk 30 Vathorst-De Bron,2014.0,EP,10.71
414,WK030730,Wijk 30 Vathorst-De Bron,2014.0,GR,14.05
415,WK030730,Wijk 30 Vathorst-De Bron,2015.0,PS,11.61
416,WK030730,Wijk 30 Vathorst-De Bron,2017.0,TK,8.05
417,WK030730,Wijk 30 Vathorst-De Bron,2018.0,GR,11.68
418,WK030731,Wijk 31 Vathorst-De Laak,2002.0,GR,5.17
419,WK030731,Wijk 31 Vathorst-De Laak,2002.0,TK,3.24
420,WK030731,Wijk 31 Vathorst-De Laak,2003.0,TK,2.81
421,WK030731,Wijk 31 Vathorst-De Laak,2004.0,EP,4.83
422,WK030731,Wijk 31 Vathorst-De Laak,2006.0,GR,6.04
423,WK030731,Wijk 31 Vathorst-De Laak,2006.0,TK,6.21
424,WK030731,Wijk 31 Vathorst-De Laak,2007.0,PS,10.33
425,WK030731,Wijk 31 Vathorst-De Laak,2010.0,GR,10.85
426,WK030731,Wijk 31 Vathorst-De Laak,2010.0,TK,6.9
427,WK030731,Wijk 31 Vathorst-De Laak,2011.0,PS,6.36
428,WK030731,Wijk 31 Vathorst-De Laak,2012.0,TK,6.44
429,WK030731,Wijk 31 Vathorst-De Laak,2014.0,EP,12.44
430,WK030731,Wijk 31 Vathorst-De Laak,2014.0,GR,14.84
431,WK030731,Wijk 31 Vathorst-De Laak,2015.0,PS,10.57
432,WK030731,Wijk 31 Vathorst-De Laak,2017.0,TK,7.18
433,WK030731,Wijk 31 Vathorst-De Laak,2018.0,GR,11.98
434,WK026705,Hoevelaken,2021.0,TK,5.73
435,WK030701,Wijk 01 Stadskern,2021.0,TK,4.82
436,WK030702,Wijk 02 Zonnehof,2021.0,TK,4.55
437,WK030703,Wijk 03 Soesterkwartier,2021.0,TK,4.74
438,WK030704,Wijk 04 Isselt,2021.0,TK,5.32
439,WK030705,Wijk 05 Bosgebied,2021.0,TK,5.24
440,WK030706,Wijk 06 De Koppel,2021.0,TK,6.29
441,WK030707,Wijk 07 De Kruiskamp,2021.0,TK,7.3
442,WK030708,Wijk 08 Schothorst Zuid,2021.0,TK,8.4
443,WK034208,Wijk 08 Soesterberg,2021.0,TK,4.29
444,WK030709,Wijk 09 Schothorst Noord,2021.0,TK,7.46
445,WK030710,Wijk 10 Liendert,2021.0,TK,7.33
446,WK030711,Wijk 11 Rustenburg,2021.0,TK,6.6
447,WK030712,Wijk 12 Stoutenburg-Noord,2021.0,TK,6.59
448,WK030713,Wijk 13 Schuilenburg,2021.0,TK,7.01
449,WK030714,Wijk 14 Randenbroek,2021.0,TK,6.17
450,WK030715,Wijk 15 Vermeerkwartier,2021.0,TK,6.0
451,WK030716,Wijk 16 Leusderkwartier,2021.0,TK,5.24
452,WK030717,Wijk 17 De Berg Zuid,2021.0,TK,4.98
453,WK030718,Wijk 18 De Berg Noord,2021.0,TK,4.92
454,WK030719,Wijk 19 Hoogland,2021.0,TK,6.14
455,WK030720,Wijk 20 Zielhorst,2021.0,TK,6.52
456,WK030721,Wijk 21 Kattenbroek,2021.0,TK,6.5
457,WK030722,Wijk 22 Calveen,2021.0,TK,7.52
458,WK030723,Wijk 23 Park Schothorst,2021.0,TK,6.57
459,WK030724,Wijk 24 Nieuwland,2021.0,TK,6.4
460,WK030725,Wijk 25 valleipoort,2021.0,TK,7.48
461,WK030726,Wijk 26 Hooglanderveen,2021.0,TK,6.77
462,WK030727,Wijk 27 Buitengebied West,2021.0,TK,6.5
463,WK030728,Wijk 28 Vathorst-De Velden,2021.0,TK,6.27
464,WK030729,Wijk 29 Vathorst-centrum,2021.0,TK,7.22
465,WK030730,Wijk 30 Vathorst-De Bron,2021.0,TK,6.77
466,WK030731,Wijk 31 Vathorst-De Laak,2021.0,TK,7.74
